"ENSG00000008282","SYPL1","K-562","49.7","FPKM","Medium"
"ENSG00000008283","CYB561","K-562","21.9","FPKM","Medium"
"ENSG00000008294","SPAG9","K-562","31.9","FPKM","Medium"
"ENSG00000008300","CELSR3","K-562","0.3","FPKM","Not detected"
"ENSG00000008311","AASS","K-562","2.0","FPKM","Low"
"ENSG00000008323","PLEKHG6","K-562","0.0","FPKM","Not detected"
"ENSG00000008324","SS18L2","K-562","34.5","FPKM","Medium"
"ENSG00000008382","MPND","K-562","3.3","FPKM","Low"
"ENSG00000008394","MGST1","K-562","77.3","FPKM","High"
"ENSG00000008405","CRY1","K-562","10.6","FPKM","Low"
"ENSG00000008438","PGLYRP1","K-562","0.0","FPKM","Not detected"
"ENSG00000008441","NFIX","K-562","3.5","FPKM","Low"
"ENSG00000008513","ST3GAL1","K-562","0.1","FPKM","Not detected"
"ENSG00000008516","MMP25","K-562","0.0","FPKM","Not detected"
"ENSG00000008517","IL32","K-562","0.3","FPKM","Not detected"
"ENSG00000008710","PKD1","K-562","3.5","FPKM","Low"
"ENSG00000008735","MAPK8IP2","K-562","1.0","FPKM","Low"
"ENSG00000008838","MED24","K-562","56.3","FPKM","High"
"ENSG00000008853","RHOBTB2","K-562","1.3","FPKM","Low"
"ENSG00000008869","HEATR5B","K-562","7.0","FPKM","Low"
"ENSG00000008952","SEC62","K-562","41.0","FPKM","Medium"
"ENSG00000008988","RPS20","K-562","1531.5","FPKM","High"
"ENSG00000009307","CSDE1","K-562","315.4","FPKM","High"
"ENSG00000009335","UBE3C","K-562","32.7","FPKM","Medium"
"ENSG00000009413","REV3L","K-562","9.6","FPKM","Low"
"ENSG00000009694","TENM1","K-562","0.0","FPKM","Not detected"
"ENSG00000009709","PAX7","K-562","0.0","FPKM","Not detected"
"ENSG00000009724","MASP2","K-562","0.3","FPKM","Not detected"
"ENSG00000009765","IYD","K-562","0.0","FPKM","Not detected"
"ENSG00000009780","FAM76A","K-562","5.3","FPKM","Low"
"ENSG00000009790","TRAF3IP3","K-562","0.0","FPKM","Not detected"
"ENSG00000009830","POMT2","K-562","5.6","FPKM","Low"
"ENSG00000009844","VTA1","K-562","54.7","FPKM","High"
"ENSG00000009950","MLXIPL","K-562","7.2","FPKM","Low"
"ENSG00000009954","BAZ1B","K-562","89.3","FPKM","High"
"ENSG00000010017","RANBP9","K-562","53.4","FPKM","High"
"ENSG00000010030","ETV7","K-562","0.0","FPKM","Not detected"
"ENSG00000010072","SPRTN","K-562","10.8","FPKM","Low"
"ENSG00000010165","METTL13","K-562","41.0","FPKM","Medium"
"ENSG00000010219","DYRK4","K-562","0.8","FPKM","Low"
"ENSG00000010244","ZNF207","K-562","146.5","FPKM","High"
"ENSG00000010256","UQCRC1","K-562","23.1","FPKM","Medium"
"ENSG00000010270","STARD3NL","K-562","44.0","FPKM","Medium"
